"","PLOT.YEAR","LAI","AbieConc","AbieMagn","AcerMacr","AescCali","AlnuRhom","ArbuMenz","CaloDecu","CornNutt","JuniOcci","LithDens","PinuAlbi","PinuAtte","PinuCont","PinuJeff","PinuLamb","PinuMono","PinuMont","PinuPond","PinuSabi","PinuWash","PopuTrem","PseuMenz","QuerChry","QuerDoug","QuerGarr","QuerKell","QuerWisl","TaxuBrev","TorrCali","TsugMert","UmbeCali"
"151","11746.1994",2.92685095509159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","11748.1994",3.13763879427542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","11749.1994",1.13326793028582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","1175.1999",3.00017985893073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","11750.1994",0.783779352845713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","11751.1994",0.429857491490293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","11752.1994",1.09702171471639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","11753.1994",3.60033117726811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","11754.1994",1.00810606268723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","11755.1994",2.23594467517947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","11756.1994",0.0123229715829524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","11757.1994",0.217530768094118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","11758.1994",0.90081413099453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
