EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
16, 18, 77, 520, 24.1056793852443, 191, 472, Lightning, 1, 1, 33, 56, 11.4696799236, 11.5049169082453, 311.6763978, NaN, 24.11, NaN, 540.190291815117, 537.309505332855, 0.129999995231628, 0.145761629389527, 121, 388, 22234, 
17, 18, 32, 169, 43.4937971700772, 220, 882, Accidental, 1, 4, 95, 287, 14.0410747755, 18.3340679694648, 256.7482564475, 0, 43.42, 0.0939609221549017, 763.040528587253, 747.421321337329, 0.130227211862803, 0.131433524587783, 72.5, 292, 31916, 
18, 19, 38, 536, 11.8017513532576, 176, 217, Lightning, 1, 1, 23, 39, 10.6814124036, 7.71550438688514, 309.999401, NaN, 11.8, NaN, 540.190291815117, 517.472810587867, 0.129999995231628, 0.131880479350354, 391, 414, 13022, 
19, 19, 74, 226, 10.8162978271043, 329, 290, Lightning, 1, 1, 36, 97, 13.5323748504, 16.2731547546587, 231.31129473, NaN, 10.82, NaN, 690.539066738089, 642.545053117726, 0.206121489405632, 0.118848506096983, 0, 364, 10613, 
20, 20, 77, 247, 19.8654166367137, 218, 483, Lightning, 1, 1, 27, 89, 11.5017602832, 19.5236885722124, 245.80447609, NaN, 19.87, NaN, 733.527391783671, 702.595709571052, 0.13451474905014, 0.139226924673034, 0, 312, 10080, 
21, 20, 5, 141, 41.0328268544223, 295, 787, Accidental, 1, 1, 4, 5, 12.0639038292, 13.2536590260352, 205.92876229, NaN, 41.03, NaN, 793.869899780042, 784.791788226764, 0.0829834118485451, 0.0387039223789696, 713, 285, 3277, 
22, 21, 54, 463, 7.92447098589997, 96, 188, Lightning, 1, 1, 26, 28, 9.5146161696, 11.3722901675325, 197.1684731, NaN, 7.92, NaN, 484.688580386256, 414.491485407519, 0.129999995231628, 0.105420599365543, 0, 639, 13837, 
23, 25, 11, 154, 39.8170353100677, 238, 682, Accidental, 1, 1, 26, 48, 12.7142085168, 5.31451207779753, 104.7248503, NaN, 39.82, NaN, 745.427383423311, 705.218258900131, 0.129999995231628, 0.12165347335956, 0, 374, 16942, 
24, 26, 25, 178, 31.9086111279521, 193, 616, Accidental, 1, 1, 25, 75, 10.1325999636, 12.2129855643401, 188.333628703, NaN, 31.91, NaN, 745.586626358827, 694.990772480356, 0.191536158323288, 0.117044872976834, 0, 358, 7487, 
25, 28, 5, 112, 33.5755372813301, 232, 663, Accidental, 1, 1, 14, 31, 9.5303789208, 13.8462896194411, 239.91514358, NaN, 33.58, NaN, 787.10560894847, 757.146039448897, 0.209999993443489, 0.126596847634743, 0, 311, 9124, 
26, 30, 66, 442, 17.3586440818456, 218, 315, Lightning, 1, 1, 35, 54, 7.5857579748, 7.80391374158909, 319.2069481, NaN, 17.36, NaN, 527.671572280793, 524.338730415418, 0.0971460714936256, 0.156901979487215, 0, 422, 15167, 
27, 32, 52, 483, 17.2668417161901, 319, 330, Lightning, 1, 1, 34, 50, 10.3148659908, 9.39669717225767, 182.865240553, NaN, 17.27, NaN, 524.597131354389, 524.597131354389, 0.110554210841656, 0.15033634231221, 69, 407, 17579, 
28, 34, 11, 475, 25.8347815795178, 260, 534, Lightning, 1, 1, 9, 20, 12.469107996, 14.5121805571215, 183.46364111, NaN, 25.83, NaN, 554.254691840638, 554.249128191423, 0.0814393609762192, 0.106001408725989, 0, 398, 5710, 
29, 35, 67, 612, 32.6583879228031, 229, 617, Accidental, 1, 1, 27, 46, 10.582234164, 11.0035822272299, 182.93950949, NaN, 32.66, NaN, 554.254691840638, 525.191435388245, 0.112613722681999, 0.160578367772519, 0, 424, 18463, 
30, 39, 92, 153, 40.6904893099136, 188, 831, Accidental, 1, 1, 16, 41, 12.3326826408, 17.9997172022689, 236.9334334, NaN, 40.69, NaN, 824.448991739135, 814.739640394731, 0.129999995231628, 0.102365948676154, 0, 282, 4928, 
31, 39, 74, 119, 51.2612793835939, 317, 893, Accidental, 1, 1, 18, 33, 9.2757385116, 6.37555727421062, 151.2301988, NaN, 51.26, NaN, 824.448991739135, 781.107383383115, 0.197659760713577, 0.0627764042374691, 0, 360, 7396, 
32, 41, 27, 529, 3.91777479061646, 99, 73, Lightning, 1, 1, 17, 46, 7.1611950636, 7.20443992819817, 347.7345421, NaN, 3.92, NaN, 811.677110731833, 805.815285794166, 0.0551873780786991, 0.105175329810073, 0, 313, 8407, 
33, 41, 74, 525, 0, 362, 40, Lightning, 1, 1, 28, 44, 8.0273662596, 10.5647572096343, 336.4882525, NaN, 0, NaN, 572.940942349844, 555.07584256825, 0.129999995231628, 0.128236231243413, 0, 416, 23111, 
34, 42, 51, 586, 38.3458246234842, 299, 733, Accidental, 1, 1, 28, 53, 15.7912890372, 12.6070653852331, 73.273498, NaN, 38.35, NaN, 572.940942349844, 556.740565066642, 0.100000001490116, 0.148159921846158, 0, 393, 19197, 
35, 43, 34, 519, 18.8567636819611, 121, 423, Lightning, 1, 1, 14, 44, 15.2207790768, 15.5641209869875, 65.4437004, NaN, 18.86, NaN, 811.677110731833, 811.677110731833, 0.0545272901654243, 0.114768387317792, 0, 283, 5096, 
36, 43, 64, 165, 42.6372968680693, 281, 767, Accidental, 1, 1, 30, 58, 11.455459218, 8.73939649141372, 82.6631075, NaN, 42.64, NaN, 804.704760395693, 730.885986895019, 0.209999993443489, 0.0925761068464524, 0, 381, 13079, 
37, 43, 95, 140, 53.2045433826053, 299, 757, Accidental, 2, 372, 5754, 14144, 14.9006440886032, 15.4576685973442, 241.008695071507, 2.83018867924528, 54.3, 0.782743291422214, 813.371647630681, 782.026543470527, 0.132299069485437, 0.0975146480800087, 33.8010752688172, 311.8, 2069654, 
38, 43, 70, 132, 24.2810035273711, 333, 426, Accidental, 1, 1, 12, 28, 5.95995192, 6.87897114308431, 281.8574377, NaN, 24.28, NaN, 811.677110731833, 803.658513971935, 0.126064643263817, 0.101139205338438, 0, 315, 5569, 
