SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
5, 201, 4, 4, 35.7920981525523, Rx, 
5, 202, 4, 4, 31.7600366888346, Rx, 
5, 203, 4, 4, 32.3006907595797, Rx, 
5, 239, 4, 4, 34.4492362042232, Rx, 
5, 240, 4, 4, 31.1924570844248, Rx, 
5, 274, 4, 4, 24.6118788486244, Rx, 
5, 275, 4, 4, 18.9013238593908, Rx, 
5, 277, 4, 4, 13.8067293871749, Rx, 
5, 278, 4, 4, 17.4993982419831, Rx, 
5, 282, 4, 4, 24.1177614844304, Rx, 
5, 301, 4, 4, 25.12320040727, Rx, 
5, 328, 4, 4, 8.39671050815276, Rx, 
5, 329, 4, 4, 10.2924076468812, Rx, 
5, 338, 4, 4, 8.09757186660557, Rx, 
5, 340, 4, 4, 7.88613836651428, Rx, 
5, 341, 4, 4, 8.92367810542606, Rx, 
5, 342, 4, 4, 10.1627014642752, Rx, 
5, 343, 4, 4, 9.68126820830116, Rx, 
5, 344, 4, 4, 10.4755667221918, Rx, 
