Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2020, eco10, 9, 42.03, 6.46, 147, 245, 0, 
2021, eco10, 9, 119.59, 5.2, 141, 259, 0, 
2022, eco10, 9, 59.59, 3.59, 145, 249, 0, 
2023, eco10, 9, 102.71, 4.43, 141, 260, 0, 
2024, eco10, 9, 123.06, 4.09, 147, 257, 0, 
2025, eco10, 9, 61.28, 5.93, 127, 265, 0, 
2026, eco10, 9, 116.69, 5.75, 144, 277, 0, 
2027, eco10, 9, 55.26, 5.45, 149, 255, 0, 
2028, eco10, 9, 97.05, 5.81, 145, 260, 0, 
2029, eco10, 9, 116.37, 5.16, 138, 262, 0, 
2030, eco10, 9, 66.34, 5.78, 134, 260, 0, 
2031, eco10, 9, 66.63, 6.01, 139, 243, 0, 
2032, eco10, 9, 97.03, 5.45, 135, 249, 0, 
2033, eco10, 9, 128.01, 4.54, 147, 260, 0, 
2034, eco10, 9, 106.27, 4.91, 139, 260, 0, 
2035, eco10, 9, 71.88, 6.05, 139, 260, 0, 
2036, eco10, 9, 103, 6.85, 131, 256, 0, 
2037, eco10, 9, 70.63, 5.94, 141, 247, 0, 
2038, eco10, 9, 91.23, 7.13, 132, 260, 0, 
2039, eco10, 9, 92.84, 6.26, 125, 291, 0, 
2040, eco10, 9, 89.45, 6.42, 126, 273, 0, 
2041, eco10, 9, 81.87, 5.85, 131, 291, 0, 
2042, eco10, 9, 105.01, 5.91, 144, 268, 0, 
2043, eco10, 9, 69.33, 6.34, 136, 290, 0, 
2044, eco10, 9, 76.65, 7.25, 121, 260, 0, 
2045, eco10, 9, 68.1, 6.49, 128, 261, 0, 
2046, eco10, 9, 89.29, 7.5, 122, 291, 0, 
2047, eco10, 9, 87.91, 5.81, 134, 266, 0, 
2048, eco10, 9, 108.28, 5.52, 125, 260, 0, 
2049, eco10, 9, 54.56, 6.57, 145, 262, 0, 
2050, eco10, 9, 69.53, 7.78, 111, 257, 0, 
2051, eco10, 9, 77.12, 6.73, 137, 266, 0, 
2052, eco10, 9, 88.83, 6.18, 117, 268, 0, 
2053, eco10, 9, 87.92, 8.38, 141, 274, 0, 
2054, eco10, 9, 96.52, 6.17, 146, 267, 0, 
2055, eco10, 9, 59.89, 7.48, 121, 282, 0, 
2056, eco10, 9, 62.9, 6.28, 120, 260, 0, 
2057, eco10, 9, 80.66, 7.71, 131, 283, 0, 
2058, eco10, 9, 78.2, 6.08, 130, 274, 0, 
2059, eco10, 9, 148.02, 6.37, 119, 270, 0, 
2060, eco10, 9, 148.12, 5.54, 129, 272, 0, 
